# time = 1000
#  1_posUnif        2_uvel_mean        3_uvel_rmsf
 5.16667E-01  1.65578E+01  1.84387E+00
 5.22222E-01  1.65074E+01  1.85042E+00
 5.27778E-01  1.64569E+01  1.85732E+00
 5.33333E-01  1.64062E+01  1.86446E+00
 5.38889E-01  1.63553E+01  1.87167E+00
 5.44444E-01  1.63044E+01  1.87880E+00
 5.50000E-01  1.62535E+01  1.88564E+00
 5.55556E-01  1.62025E+01  1.89204E+00
 5.61111E-01  1.61516E+01  1.89801E+00
 5.66667E-01  1.61007E+01  1.90347E+00
 5.72222E-01  1.60500E+01  1.90843E+00
 5.77778E-01  1.59993E+01  1.91300E+00
 5.83333E-01  1.59487E+01  1.91723E+00
 5.88889E-01  1.58981E+01  1.92125E+00
 5.94444E-01  1.58475E+01  1.92512E+00
 6.00000E-01  1.57969E+01  1.92875E+00
 6.05556E-01  1.57464E+01  1.93205E+00
 6.11111E-01  1.56958E+01  1.93511E+00
 6.16667E-01  1.56452E+01  1.93806E+00
 6.22222E-01  1.55943E+01  1.94086E+00
 6.27778E-01  1.55433E+01  1.94353E+00
 6.33333E-01  1.54921E+01  1.94602E+00
 6.38889E-01  1.54406E+01  1.94827E+00
 6.44444E-01  1.53889E+01  1.95020E+00
 6.50000E-01  1.53368E+01  1.95176E+00
 6.55556E-01  1.52845E+01  1.95307E+00
 6.61111E-01  1.52317E+01  1.95408E+00
 6.66667E-01  1.51785E+01  1.95497E+00
 6.72222E-01  1.51247E+01  1.95591E+00
 6.77778E-01  1.50702E+01  1.95723E+00
 6.83333E-01  1.50150E+01  1.95890E+00
 6.88889E-01  1.49592E+01  1.96066E+00
 6.94444E-01  1.49028E+01  1.96232E+00
 7.00000E-01  1.48458E+01  1.96374E+00
 7.05556E-01  1.47883E+01  1.96491E+00
 7.11111E-01  1.47301E+01  1.96561E+00
 7.16667E-01  1.46714E+01  1.96560E+00
 7.22222E-01  1.46119E+01  1.96504E+00
 7.27778E-01  1.45515E+01  1.96423E+00
 7.33333E-01  1.44901E+01  1.96340E+00
 7.38889E-01  1.44275E+01  1.96271E+00
 7.44444E-01  1.43634E+01  1.96226E+00
